YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1945/5/1,--:--,560,-999,0
1945/6/1,--:--,775,-999,0
1945/7/1,--:--,1452,-999,0
1945/8/1,--:--,5973,-999,0
1945/9/1,--:--,7561,-999,0
1945/10/1,--:--,5936,-999,0
1945/11/1,--:--,3086,-999,0
1945/12/1,--:--,1825,-999,0
1946/1/1,--:--,1381,-999,0
1946/2/1,--:--,950,-999,0
1946/3/1,--:--,937,-999,0
1946/4/1,--:--,952,-999,0
1946/5/1,--:--,795,-999,0
1946/6/1,--:--,621,-999,0
1946/7/1,--:--,2751,-999,0
1946/8/1,--:--,10043,-999,0
1946/9/1,--:--,10686,-999,0
1946/10/1,--:--,5451,-999,0
1946/11/1,--:--,3175,-999,0
1946/12/1,--:--,1941,-999,0
1947/1/1,--:--,1489,-999,0
1947/2/1,--:--,1273,-999,0
1947/3/1,--:--,1142,-999,0
1947/4/1,--:--,1003,-999,0
1947/5/1,--:--,1067,-999,0
1947/6/1,--:--,1126,-999,0
1947/7/1,--:--,1299,-999,0
1947/8/1,--:--,6123,-999,0
1947/9/1,--:--,8834,-999,0
1947/10/1,--:--,5189,-999,0
1947/11/1,--:--,2222,-999,0
1947/12/1,--:--,1515,-999,0
1948/1/1,--:--,1273,-999,0
1948/2/1,--:--,1069,-999,0
1948/3/1,--:--,933,-999,0
1948/4/1,--:--,987,-999,0
1948/5/1,--:--,821,-999,0
1948/6/1,--:--,706,-999,0
1948/7/1,--:--,2187,-999,0
1948/8/1,--:--,6533,-999,0
1948/9/1,--:--,7407,-999,0
1948/10/1,--:--,5787,-999,0
1948/11/1,--:--,3352,-999,0
1948/12/1,--:--,1702,-999,0
1949/1/1,--:--,1303,-999,0
1949/2/1,--:--,1070,-999,0
1949/3/1,--:--,899,-999,0
1949/4/1,--:--,972,-999,0
1949/5/1,--:--,952,-999,0
1949/6/1,--:--,775,-999,0
1949/7/1,--:--,1728,-999,0
1949/8/1,--:--,6907,-999,0
1949/9/1,--:--,7793,-999,0
1949/10/1,--:--,4928,-999,0
1949/11/1,--:--,2685,-999,0
1949/12/1,--:--,1635,-999,0
1950/1/1,--:--,1400,-999,0
1950/2/1,--:--,1124,-999,0
1950/3/1,--:--,948,-999,0
1950/4/1,--:--,968,-999,0
1950/5/1,--:--,1015,-999,0
1950/6/1,--:--,875,-999,0
1950/7/1,--:--,2027,-999,0
1950/8/1,--:--,8363,-999,0
1950/9/1,--:--,8989,-999,0
1950/10/1,--:--,5264,-999,0
1950/11/1,--:--,2280,-999,0
1950/12/1,--:--,1411,-999,0
1951/1/1,--:--,1161,-999,0
1951/2/1,--:--,781,-999,0
1951/3/1,--:--,866,-999,0
1951/4/1,--:--,933,-999,0
1951/5/1,--:--,742,-999,0
1951/6/1,--:--,501,-999,0
1951/7/1,--:--,1269,-999,0
1951/8/1,--:--,6160,-999,0
1951/9/1,--:--,7021,-999,0
1951/10/1,--:--,4442,-999,0
1951/11/1,--:--,2935,-999,0
1951/12/1,--:--,1650,-999,0
1952/1/1,--:--,1135,-999,0
1952/2/1,--:--,925,-999,0
1952/3/1,--:--,1030,-999,0
1952/4/1,--:--,868,-999,0
1952/5/1,--:--,593,-999,0
1952/6/1,--:--,574,-999,0
1952/7/1,--:--,1467,-999,0
1952/8/1,--:--,5895,-999,0
1952/9/1,--:--,7889,-999,0
